molecule_chembl_id,canonical_smiles,standard_value,class
CHEMBL611862,O=C1NNC(=O)C2C(N=CN2C2O[C@H](CO)[C@@H](O)[C@H]2O)N1,500000.0,inactive
CHEMBL336356,NC1=NC(=O)C2N=CNC2C(=O)N1,500000.0,inactive
CHEMBL2115214,Nc1nc(=O)c2c(ncn2[C@@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1,7000.0,intermediate
CHEMBL134661,NC1=NC(=O)C2C(N=CN2COCCO)C(=O)N1,500000.0,inactive
CHEMBL337909,NC1=NC(=O)C2C(N=CN2CCOCP(=O)(O)O)C(=O)N1,200000.0,inactive
CHEMBL134689,NC1=NC(=O)C2C(N=CN2COCCOCc2ccccc2)C(=O)N1,11000.0,inactive
CHEMBL336651,O=C1NC2N=CNC2C(=O)N(Cc2ccccc2)N1,500000.0,inactive
CHEMBL2092974,NC1=NC(=O)C2C(N=CN2[C@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1,12000.0,inactive
CHEMBL611547,N=C1N=C(N)N=C(N)C2N=CN(C3O[C@@H](CO)[C@H](O)[C@@H]3O)C12,500000.0,inactive
CHEMBL611003,N=C1N=C(N)N=C(N)C2N=CN(C3O[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)([O-])O)[C@H](O)[C@@H]3O)C12.[Na+],550.0,active
CHEMBL134204,CO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH][nH]c(=O)c21,450000.0,inactive
CHEMBL134814,O=C1NC2C(N=CN2Cc2ccccc2)C(=O)N(Cc2ccccc2)N1,500000.0,inactive
CHEMBL610669,CCN(CC)CC.CCN(CC)CC.O=C1NNC(=O)C2C(N=CN2C2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)N1,1500.0,intermediate
CHEMBL46400,CC(C)C(NC(=O)OC(C)(C)C)C(=O)N1CC[C@H]2[C@H]1C1(SCCS1)C(=O)N2C(=O)C1CC1,100000.0,inactive
CHEMBL296850,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1CC[C@H]2[C@H]1C1(CCC1)C(=O)N2C(=O)C1CC1,4000.0,intermediate
CHEMBL47033,CC(C)C(=O)N1C(=O)C2(CCC2)[C@@H]2[C@@H]1CCN2C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C,3100.0,intermediate
CHEMBL46873,CC(C)C(=O)N1C(=O)C2(SCCS2)[C@@H]2[C@@H]1CCN2C(=O)C(NC(=O)OC(C)(C)C)C(C)C,17000.0,inactive
CHEMBL416461,CSC(=O)N1C(=O)C2(CCC2)[C@@H]2[C@@H]1CCN2C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C,7900.0,intermediate
CHEMBL315390,CCCC(NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C(C)C)C(C)(C)C)C(=O)C(=O)NC1CC1,2210.0,intermediate
